freq;N2;tx_site;N4;N5;programme;country;N6;N7;N8;N9;closed;N10;N11;N12;N13;station;N14;N15;N16
873.000;;Ar Rass;qsm;ar;SBA Al-Quran al-Karim;ARS;;;10.000;;;;43e32/25n52;;;;;;
882.000;;Dammam;shy;ar;SBA Al-Quran al-Karim;ARS;;;100.000;;;;50e03/26n28;;;;;;
900.000;;Qurayyat;jwf;ar;SBA Radio Riyadh;ARS;;;1000.000;D;;;37e23/31n26;;;General program;;;
927.000;;Al-Hofuf=Al-Hufuf;shy;ar;SBA Radio Jeddah;ARS;;;20.000;;;;49e35/25n16;;;2nd program;;;
936.000;;Ar-Riyad;riy;ar;SBA Al-Quran al-Karim;ARS;;;50.000;;;;46e52/24n49;;;;;;
936.000;;Makkah;mkh;ar;SBA Al-Quran al-Karim;ARS;;;50.000;;;;39e41/21n22;;;;;;
945.000;;Ha'il;hal;ar;SBA Radio Riyadh;ARS;;;5.000;D;;;41e44/27n28;;;General program;;;
981.000;;Al-Madinah=Medinah;mdh;ar;SBA Al-Quran al-Karim;ARS;;;20.000;;;;39e32/24n25;;;;;;
999.000;;Duba;tbk;ar;SBA Al-Quran al-Karim;ARS;;;500.000;;;;35e36/27n26;;;;;;
1017.000;c;Al-Madinah=Medinah;mdh;;;ARS;;;20.000;;;;39e32/24n25;;;ex SBA Pilgrimage Enlightment Radio;;;
1035.000;;Rafha/Al-Jumaimah;hsh;ar;SBA Radio Jeddah;ARS;;;20.000;;;;43e36/29n35;;;2nd program;;;
1044.000;;Afif;riy;ar;SBA Radio Jeddah;ARS;;;20.000;;;;42e54/23n51;;;received in FIN 01/2015;;;
1071.000;;Bisha=Qal'at Bishah;asr;ar;SBA Radio Riyadh;ARS;;;50.000;;;;42e37/19n50;;;General program;;;
1080.000;;Najran;njn;ar;SBA Radio Jeddah;ARS;;;20.000;;;;44e04/17n35;;;2nd program;;;
1089.000;;Qurayyat;jwf;ar;SBA Radio Jeddah;ARS;;;100.000;;;;37e23/31n25;;;2nd program;;;
1098.000;;Dammam;shy;ar;SBA Radio Jeddah;ARS;;;100.000;;;;50e03/26n28;;;2nd program;;;
1116.000;;Al-Madinah=Medinah;mdh;ar;SBA Radio Jeddah;ARS;;;20.000;;;;39e32/24n25;;;2nd program;;;
1188.000;c;unknown;;ar;;ARS;;;;;;;;;;ex SBA Radio Riyadh;;;
1206.000;;Al-Aflaj/Layla;riy;ar;SBA Radio Jeddah;ARS;;;20.000;;;;46e42/22n17;;;;;;
1215.000;;Hafar al-Batin;shy;ar;SBA Radio Jeddah;ARS;;;50.000;;;;46e04/28n26;;;2nd program;;;
1215.000;;Al-Madinah=Medinah;mdh;ar;SBA Radio Riyadh;ARS;;;20.000;;;;39e32/24n25;;;General program;;;
1260.000;;Dammam;shy;ar;SBA Radio Riyadh;ARS;;;500.000;;;;50e03/26n28;;;General program;;;
